datetime_utc,eth_block,lockbox_usd,arbitrum_supply,polygon_supply
2025-08-25 00:00,23214395,1395735047.20,918333115.70,1383917381.14
2025-08-25 06:00,23216185,1376849296.53,929336199.42,1378682363.87
2025-08-25 12:00,23217981,1373695109.32,926566781.76,1378700672.75
2025-08-25 18:00,23219773,1384716130.15,942841058.72,1378693980.08
2025-08-26 00:00,23221563,1362425451.66,946644887.39,1373545442.92
2025-08-26 06:00,23223354,1363482777.69,946558274.83,1353581187.05
2025-08-26 12:00,23225148,1372480751.17,957182257.54,1353345253.00
2025-08-26 18:00,23226940,1382220886.79,963527173.99,1353205255.03
2025-08-27 00:00,23228730,1397868950.53,963846214.97,1348190696.66
2025-08-27 06:00,23230527,1397085677.54,961932215.61,1348155066.02
2025-08-27 12:00,23232316,1431763720.77,974524899.87,1358759149.67
2025-08-27 18:00,23234104,2690366006.86,876429994.12,1358516201.54
2025-08-28 00:00,23235895,2691941778.99,876461221.59,1358516201.54
2025-08-28 06:00,23237685,2700272983.97,877966123.63,1358503898.07
2025-08-28 12:00,23239473,2702625847.55,876841286.21,1358459695.44
2025-08-28 18:00,23241264,2758370548.40,879721745.63,1408328334.68
2025-08-29 00:00,23243055,2767606388.92,885473021.19,1408336271.68
2025-08-29 06:00,23244849,2756766758.30,882776706.35,1406038460.00
2025-08-29 12:00,23246641,2778349581.98,895437257.53,1406061459.08
2025-08-29 18:00,23248434,2775870043.65,896746978.30,1405963960.55
2025-08-30 00:00,23250225,2778075866.91,897150867.36,1406298459.27
2025-08-30 06:00,23252021,2790856604.84,908200357.58,1407097479.28
2025-08-30 12:00,23253812,2791533509.71,906175765.52,1407112269.80
2025-08-30 18:00,23255604,2792303590.21,906312618.07,1407086391.36
2025-08-31 00:00,23257401,2790234529.91,907139701.10,1406959501.74
2025-08-31 06:00,23259192,2791874668.71,907250994.45,1407360807.23
2025-08-31 12:00,23260987,2784410638.69,908927969.25,1407194553.02
2025-08-31 18:00,23262777,2784142248.46,907974642.00,1407559769.67
2025-09-01 00:00,23264565,2785085161.68,908000383.15,1407326667.79
