ts,date_utc,entity,class,block,value_usd,status
1753552800,2025-07-26,Arbitrum,upgraded-in-place,361841511,1020215866.231344,ok
1753552800,2025-07-26,Arbitrum_L1Gateway,legacy-escrow,23004969,139783.021025,ok
1753552800,2025-07-26,Berachain,native-oft,8260914,1588983.468317,ok
1753552800,2025-07-26,Conflux,native-oft,127425882,0.000000,not-deployed
1753552800,2025-07-26,Flare,native-oft,45148798,72550472.528254,ok
1753552800,2025-07-26,HyperEVM,native-oft,9459175,95230836.991638,ok
1753552800,2025-07-26,Ink,native-oft,20054389,74747049.763367,ok
1753552800,2025-07-26,Mantle,native-oft,82711244,0.000000,not-deployed
1753552800,2025-07-26,Monad,native-oft,12542411,0.000000,not-deployed
1753552800,2025-07-26,Morph,native-oft,13424009,0.000000,not-deployed
1753552800,2025-07-26,Optimism,native-oft,138977011,0.000000,not-deployed
1753552800,2025-07-26,Optimism_L1Bridge,legacy-escrow,23004969,243195545.500923,ok
1753552800,2025-07-26,Plasma,native-oft,,0.000000,pre-history
1753552800,2025-07-26,Polygon,upgraded-in-place,74441728,1245115902.849620,ok
1753552800,2025-07-26,Polygon_ERC20Pred,legacy-escrow,23004969,0.000000,ok
1753552800,2025-07-26,Rootstock,native-oft,7820438,1987396.428145,ok
1753552800,2025-07-26,Stable,native-oft,,0.000000,pre-history
1753552800,2025-07-26,Tempo,native-oft,,0.000000,pre-history
1753552800,2025-07-26,USDT0_lockbox,collateral,23004969,1436365409.132915,ok
1753552800,2025-07-26,Unichain,native-oft,22804441,131065814.770697,ok
1753552800,2025-07-26,XLayer,native-oft,26729342,0.000000,not-deployed
1753725600,2025-07-28,Arbitrum,upgraded-in-place,362533464,1050576660.896154,ok
1753725600,2025-07-28,Arbitrum_L1Gateway,legacy-escrow,23019291,139783.021025,ok
1753725600,2025-07-28,Berachain,native-oft,8351400,1652935.586524,ok
1753725600,2025-07-28,Conflux,native-oft,127548480,0.000000,not-deployed
1753725600,2025-07-28,Flare,native-oft,45247157,68473367.462698,ok
1753725600,2025-07-28,HyperEVM,native-oft,9632240,89427315.874749,ok
1753725600,2025-07-28,Ink,native-oft,20227189,75052343.200141,ok
1753725600,2025-07-28,Mantle,native-oft,82797644,0.000000,not-deployed
1753725600,2025-07-28,Monad,native-oft,12873159,0.000000,not-deployed
1753725600,2025-07-28,Morph,native-oft,13596577,0.000000,not-deployed
1753725600,2025-07-28,Optimism,native-oft,139063411,0.000000,not-deployed
1753725600,2025-07-28,Optimism_L1Bridge,legacy-escrow,23019291,243259247.684481,ok
1753725600,2025-07-28,Plasma,native-oft,,0.000000,pre-history
1753725600,2025-07-28,Polygon,upgraded-in-place,74522841,1226771512.292230,ok
1753725600,2025-07-28,Polygon_ERC20Pred,legacy-escrow,23019291,0.000000,ok
1753725600,2025-07-28,Rootstock,native-oft,7827583,2196089.085438,ok
1753725600,2025-07-28,Stable,native-oft,,0.000000,pre-history
1753725600,2025-07-28,Tempo,native-oft,,0.000000,pre-history
1753725600,2025-07-28,USDT0_lockbox,collateral,23019291,1443592744.176232,ok
1753725600,2025-07-28,Unichain,native-oft,22977241,116153499.014641,ok
1753725600,2025-07-28,XLayer,native-oft,27148683,0.000000,not-deployed
1753898400,2025-07-30,Arbitrum,upgraded-in-place,363225512,1060192245.098985,ok
1753898400,2025-07-30,Arbitrum_L1Gateway,legacy-escrow,23033589,139763.021025,ok
1753898400,2025-07-30,Berachain,native-oft,8441598,1715577.202646,ok
1753898400,2025-07-30,Conflux,native-oft,127671908,0.000000,not-deployed
1753898400,2025-07-30,Flare,native-oft,45347412,84584608.483348,ok
1753898400,2025-07-30,HyperEVM,native-oft,9807919,91137045.822949,ok
1753898400,2025-07-30,Ink,native-oft,20399989,75662904.438863,ok
1753898400,2025-07-30,Mantle,native-oft,82884044,0.000000,not-deployed
1753898400,2025-07-30,Monad,native-oft,13217660,0.000000,not-deployed
1753898400,2025-07-30,Morph,native-oft,13766649,0.000000,not-deployed
1753898400,2025-07-30,Optimism,native-oft,139149811,0.000000,not-deployed
1753898400,2025-07-30,Optimism_L1Bridge,legacy-escrow,23033589,258260847.684481,ok
1753898400,2025-07-30,Plasma,native-oft,,0.000000,pre-history
1753898400,2025-07-30,Polygon,upgraded-in-place,74601132,1226418792.448727,ok
1753898400,2025-07-30,Polygon_ERC20Pred,legacy-escrow,23033589,0.000000,ok
1753898400,2025-07-30,Rootstock,native-oft,7834636,2323643.512530,ok
1753898400,2025-07-30,Stable,native-oft,,0.000000,pre-history
1753898400,2025-07-30,Tempo,native-oft,,0.000000,pre-history
1753898400,2025-07-30,USDT0_lockbox,collateral,23033589,1484974229.432581,ok
1753898400,2025-07-30,Unichain,native-oft,23150041,131921109.390597,ok
1753898400,2025-07-30,XLayer,native-oft,27567971,0.000000,not-deployed
1754071200,2025-08-01,Arbitrum,upgraded-in-place,363917604,1082150556.186489,ok
1754071200,2025-08-01,Arbitrum_L1Gateway,legacy-escrow,23047881,139763.021025,ok
1754071200,2025-08-01,Berachain,native-oft,8532117,11711932.057508,ok
1754071200,2025-08-01,Conflux,native-oft,127795862,0.000000,not-deployed
1754071200,2025-08-01,Flare,native-oft,45446982,79272300.440652,ok
1754071200,2025-08-01,HyperEVM,native-oft,9983599,100702631.575127,ok
1754071200,2025-08-01,Ink,native-oft,20572789,50919460.478375,ok
1754071200,2025-08-01,Mantle,native-oft,82970444,0.000000,not-deployed
1754071200,2025-08-01,Monad,native-oft,13562117,0.000000,not-deployed
1754071200,2025-08-01,Morph,native-oft,13924581,0.000000,not-deployed
1754071200,2025-08-01,Optimism,native-oft,139236211,0.000000,not-deployed
1754071200,2025-08-01,Optimism_L1Bridge,legacy-escrow,23047881,258266247.684481,ok
1754071200,2025-08-01,Plasma,native-oft,,0.000000,pre-history
1754071200,2025-08-01,Polygon,upgraded-in-place,74676643,1221057059.575127,ok
1754071200,2025-08-01,Polygon_ERC20Pred,legacy-escrow,23047881,0.000000,ok
1754071200,2025-08-01,Rootstock,native-oft,7841808,1889189.802259,ok
1754071200,2025-08-01,Stable,native-oft,,0.000000,pre-history
1754071200,2025-08-01,Tempo,native-oft,,0.000000,pre-history
1754071200,2025-08-01,USDT0_lockbox,collateral,23047881,1492000154.186465,ok
1754071200,2025-08-01,Unichain,native-oft,23322841,117234556.137717,ok
1754071200,2025-08-01,XLayer,native-oft,27987165,0.000000,not-deployed
1754244000,2025-08-03,Arbitrum,upgraded-in-place,364609320,1091842500.657382,ok
1754244000,2025-08-03,Arbitrum_L1Gateway,legacy-escrow,23062187,139738.021025,ok
1754244000,2025-08-03,Berachain,native-oft,8622548,32501957.434907,ok
1754244000,2025-08-03,Conflux,native-oft,127919257,0.000000,not-deployed
1754244000,2025-08-03,Flare,native-oft,45547716,82976245.877110,ok
1754244000,2025-08-03,HyperEVM,native-oft,10159091,109502495.115146,ok
1754244000,2025-08-03,Ink,native-oft,20745589,50907107.302878,ok
1754244000,2025-08-03,Mantle,native-oft,83056844,0.000000,not-deployed
1754244000,2025-08-03,Monad,native-oft,13906617,0.000000,not-deployed
1754244000,2025-08-03,Morph,native-oft,14095442,0.000000,not-deployed
1754244000,2025-08-03,Optimism,native-oft,139322611,0.000000,not-deployed
1754244000,2025-08-03,Optimism_L1Bridge,legacy-escrow,23062187,258533841.119432,ok
1754244000,2025-08-03,Plasma,native-oft,,0.000000,pre-history
1754244000,2025-08-03,Polygon,upgraded-in-place,74757801,1215047050.610444,ok
1754244000,2025-08-03,Polygon_ERC20Pred,legacy-escrow,23062187,0.000000,ok
1754244000,2025-08-03,Rootstock,native-oft,7848916,2292939.660619,ok
1754244000,2025-08-03,Stable,native-oft,,0.000000,pre-history
1754244000,2025-08-03,Tempo,native-oft,,0.000000,pre-history
1754244000,2025-08-03,USDT0_lockbox,collateral,23062187,1511939251.830784,ok
1754244000,2025-08-03,Unichain,native-oft,23495641,98308876.922886,ok
1754244000,2025-08-03,XLayer,native-oft,28406323,0.000000,not-deployed
1754416800,2025-08-05,Arbitrum,upgraded-in-place,365300190,1121388194.013998,ok
1754416800,2025-08-05,Arbitrum_L1Gateway,legacy-escrow,23076512,139738.021025,ok
1754416800,2025-08-05,Berachain,native-oft,8712500,47772144.441557,ok
1754416800,2025-08-05,Conflux,native-oft,128044787,0.000000,not-deployed
1754416800,2025-08-05,Flare,native-oft,45649063,82796631.209064,ok
1754416800,2025-08-05,HyperEVM,native-oft,10334771,118358010.739257,ok
1754416800,2025-08-05,Ink,native-oft,20918389,50663763.622370,ok
1754416800,2025-08-05,Mantle,native-oft,83143244,0.000000,not-deployed
1754416800,2025-08-05,Monad,native-oft,14250982,0.000000,not-deployed
1754416800,2025-08-05,Morph,native-oft,14232702,0.000000,not-deployed
1754416800,2025-08-05,Optimism,native-oft,139409011,0.000000,not-deployed
1754416800,2025-08-05,Optimism_L1Bridge,legacy-escrow,23076512,258548091.866831,ok
1754416800,2025-08-05,Plasma,native-oft,,0.000000,pre-history
1754416800,2025-08-05,Polygon,upgraded-in-place,74838689,1211693995.379860,ok
1754416800,2025-08-05,Polygon_ERC20Pred,legacy-escrow,23076512,0.000000,ok
1754416800,2025-08-05,Rootstock,native-oft,7855999,2980795.415139,ok
1754416800,2025-08-05,Stable,native-oft,,0.000000,pre-history
1754416800,2025-08-05,Tempo,native-oft,,0.000000,pre-history
1754416800,2025-08-05,USDT0_lockbox,collateral,23076512,1567474015.997771,ok
1754416800,2025-08-05,Unichain,native-oft,23668441,97173091.386858,ok
1754416800,2025-08-05,XLayer,native-oft,28793247,0.000000,not-deployed
1754589600,2025-08-07,Arbitrum,upgraded-in-place,365990877,1136209688.096136,ok
1754589600,2025-08-07,Arbitrum_L1Gateway,legacy-escrow,23090832,139738.021025,ok
1754589600,2025-08-07,Berachain,native-oft,8802404,76835674.301256,ok
1754589600,2025-08-07,Conflux,native-oft,128168876,0.000000,not-deployed
1754589600,2025-08-07,Flare,native-oft,45746279,71652726.120327,ok
1754589600,2025-08-07,HyperEVM,native-oft,10510448,124082464.324789,ok
1754589600,2025-08-07,Ink,native-oft,21091189,50570215.589579,ok
1754589600,2025-08-07,Mantle,native-oft,83229644,0.000000,not-deployed
1754589600,2025-08-07,Monad,native-oft,14595475,0.000000,not-deployed
1754589600,2025-08-07,Morph,native-oft,14290927,0.000000,not-deployed
