ts,date_utc,entity,class,block,value_usd,status
1753484400,2025-07-25,Arbitrum,upgraded-in-place,361567703,1002267197.661387,ok
1753484400,2025-07-25,Arbitrum_L1Gateway,legacy-escrow,22999296,139783.021025,ok
1753484400,2025-07-25,Berachain,native-oft,8225095,1615310.339184,ok
1753484400,2025-07-25,Flare,native-oft,45108998,71831616.442744,ok
1753484400,2025-07-25,HyperEVM,native-oft,9389635,91855417.857983,ok
1753484400,2025-07-25,Ink,native-oft,19985989,75057150.679201,ok
1753484400,2025-07-25,Mantle,native-oft,82677044,0.000000,not-deployed
1753484400,2025-07-25,Optimism,native-oft,138942811,0.000000,not-deployed
1753484400,2025-07-25,Optimism_L1Bridge,legacy-escrow,22999296,243187532.287885,ok
1753484400,2025-07-25,Plasma,native-oft,,0.000000,pre-history
1753484400,2025-07-25,Polygon,upgraded-in-place,74409664,1245099546.256992,ok
1753484400,2025-07-25,Polygon_ERC20Pred,legacy-escrow,22999296,0.000000,ok
1753484400,2025-07-25,Rootstock,native-oft,7817588,2011326.761850,ok
1753484400,2025-07-25,USDT0_lockbox,collateral,22999296,1421554289.717671,ok
1753484400,2025-07-25,Unichain,native-oft,22736041,137590487.537630,ok
1753484400,2025-07-25,XLayer,native-oft,26563344,0.000000,not-deployed
1753657200,2025-07-27,Arbitrum,upgraded-in-place,362259444,1017381905.957732,ok
1753657200,2025-07-27,Arbitrum_L1Gateway,legacy-escrow,23013627,139783.021025,ok
1753657200,2025-07-27,Berachain,native-oft,8315664,1594214.962424,ok
1753657200,2025-07-27,Flare,native-oft,45208431,68308873.903982,ok
1753657200,2025-07-27,HyperEVM,native-oft,9562700,92910143.448803,ok
1753657200,2025-07-27,Ink,native-oft,20158789,74799022.424092,ok
1753657200,2025-07-27,Mantle,native-oft,82763444,0.000000,not-deployed
1753657200,2025-07-27,Optimism,native-oft,139029211,0.000000,not-deployed
1753657200,2025-07-27,Optimism_L1Bridge,legacy-escrow,23013627,243209255.684481,ok
1753657200,2025-07-27,Plasma,native-oft,,0.000000,pre-history
1753657200,2025-07-27,Polygon,upgraded-in-place,74490694,1244969180.845306,ok
1753657200,2025-07-27,Polygon_ERC20Pred,legacy-escrow,23013627,0.000000,ok
1753657200,2025-07-27,Rootstock,native-oft,7824740,2063164.325819,ok
1753657200,2025-07-27,USDT0_lockbox,collateral,23013627,1424421340.586153,ok
1753657200,2025-07-27,Unichain,native-oft,22908841,127073997.884169,ok
1753657200,2025-07-27,XLayer,native-oft,26982680,0.000000,not-deployed
1753830000,2025-07-29,Arbitrum,upgraded-in-place,362951611,1065353378.712455,ok
1753830000,2025-07-29,Arbitrum_L1Gateway,legacy-escrow,23027930,139763.021025,ok
1753830000,2025-07-29,Berachain,native-oft,8405775,1714363.308704,ok
1753830000,2025-07-29,Flare,native-oft,45308342,82897402.605581,ok
1753830000,2025-07-29,HyperEVM,native-oft,9738379,92147625.113271,ok
1753830000,2025-07-29,Ink,native-oft,20331589,75825372.922068,ok
1753830000,2025-07-29,Mantle,native-oft,82849844,0.000000,not-deployed
1753830000,2025-07-29,Optimism,native-oft,139115611,0.000000,not-deployed
1753830000,2025-07-29,Optimism_L1Bridge,legacy-escrow,23027930,253260847.684481,ok
1753830000,2025-07-29,Plasma,native-oft,,0.000000,pre-history
1753830000,2025-07-29,Polygon,upgraded-in-place,74571964,1226419223.065705,ok
1753830000,2025-07-29,Polygon_ERC20Pred,legacy-escrow,23027930,0.000000,ok
1753830000,2025-07-29,Rootstock,native-oft,7831766,2172274.206785,ok
1753830000,2025-07-29,USDT0_lockbox,collateral,23027930,1490349698.196676,ok
1753830000,2025-07-29,Unichain,native-oft,23081641,130739297.789923,ok
1753830000,2025-07-29,XLayer,native-oft,27402001,0.000000,not-deployed
1754002800,2025-07-31,Arbitrum,upgraded-in-place,363643540,1065820541.752459,ok
1754002800,2025-07-31,Arbitrum_L1Gateway,legacy-escrow,23042215,139763.021025,ok
1754002800,2025-07-31,Berachain,native-oft,8496345,1829523.777157,ok
1754002800,2025-07-31,Flare,native-oft,45406665,81788649.084677,ok
1754002800,2025-07-31,HyperEVM,native-oft,9914059,90024388.620384,ok
1754002800,2025-07-31,Ink,native-oft,20504389,51001645.304119,ok
1754002800,2025-07-31,Mantle,native-oft,82936244,0.000000,not-deployed
1754002800,2025-07-31,Optimism,native-oft,139202011,0.000000,not-deployed
1754002800,2025-07-31,Optimism_L1Bridge,legacy-escrow,23042215,258265947.684481,ok
1754002800,2025-07-31,Plasma,native-oft,,0.000000,pre-history
1754002800,2025-07-31,Polygon,upgraded-in-place,74645799,1226389662.638968,ok
1754002800,2025-07-31,Polygon_ERC20Pred,legacy-escrow,23042215,0.000000,ok
1754002800,2025-07-31,Rootstock,native-oft,7838938,2049099.869339,ok
1754002800,2025-07-31,USDT0_lockbox,collateral,23042215,1454367183.834074,ok
1754002800,2025-07-31,Unichain,native-oft,23254441,121033158.871477,ok
1754002800,2025-07-31,XLayer,native-oft,27821249,0.000000,not-deployed
1754175600,2025-08-02,Arbitrum,upgraded-in-place,364335598,1088827459.148284,ok
1754175600,2025-08-02,Arbitrum_L1Gateway,legacy-escrow,23056513,139738.021025,ok
1754175600,2025-08-02,Berachain,native-oft,8586782,14302011.278918,ok
1754175600,2025-08-02,Flare,native-oft,45507448,80525148.339369,ok
1754175600,2025-08-02,HyperEVM,native-oft,10089551,105188569.242244,ok
1754175600,2025-08-02,Ink,native-oft,20677189,50933103.356409,ok
