ts,date,collateral,liabilities,ratio,gap,chains_live,chains_rpc_error,legacy_escrows,supply_Arbitrum,supply_Berachain,supply_Conflux,supply_Flare,supply_HyperEVM,supply_Ink,supply_Mantle,supply_Monad,supply_Morph,supply_Optimism,supply_Plasma,supply_Polygon,supply_Rootstock,supply_Stable,supply_Tempo,supply_Unichain,supply_XLayer,escrow_Arbitrum_L1Gateway,escrow_Optimism_L1Bridge,escrow_Polygon_ERC20Pred
1753552800,2025-07-26,1436365409.132915,2642502323.031382,0.5435625908874014,-1206136913.898467,8,0,243335328.521948,1020215866.231344,1588983.468317,0.0,72550472.528254,95230836.991638,74747049.763367,0.0,0.0,0.0,0.0,0.0,1245115902.84962,1987396.428145,0.0,0.0,131065814.770697,0.0,139783.021025,243195545.500923,0.0
1753725600,2025-07-28,1443592744.176232,2630303723.412575,0.548831198209804,-1186710979.2363427,8,0,243399030.705506,1050576660.896154,1652935.586524,0.0,68473367.462698,89427315.874749,75052343.200141,0.0,0.0,0.0,0.0,0.0,1226771512.29223,2196089.085438,0.0,0.0,116153499.014641,0.0,139783.021025,243259247.684481,0.0
1753898400,2025-07-30,1484974229.432581,2673955926.398645,0.5553473094945823,-1188981696.966064,8,0,258400610.705506,1060192245.098985,1715577.202646,0.0,84584608.483348,91137045.822949,75662904.438863,0.0,0.0,0.0,0.0,0.0,1226418792.448727,2323643.51253,0.0,0.0,131921109.390597,0.0,139763.021025,258260847.684481,0.0
1754071200,2025-08-01,1492000154.186465,2664937686.253254,0.5598630549159781,-1172937532.066789,8,0,258406010.705506,1082150556.186489,11711932.057508,0.0,79272300.440652,100702631.575127,50919460.478375,0.0,0.0,0.0,0.0,0.0,1221057059.575127,1889189.802259,0.0,0.0,117234556.137717,0.0,139763.021025,258266247.684481,0.0
1754244000,2025-08-03,1511939251.830784,2683379173.5813723,0.5634459962707672,-1171439921.7505882,8,0,258673579.140457,1091842500.657382,32501957.434907,0.0,82976245.87711,109502495.115146,50907107.302878,0.0,0.0,0.0,0.0,0.0,1215047050.610444,2292939.660619,0.0,0.0,98308876.922886,0.0,139738.021025,258533841.119432,0.0
1754416800,2025-08-05,1567474015.997771,2732826626.208103,0.5735724326474009,-1165352610.2103322,8,0,258687829.887856,1121388194.013998,47772144.441557,0.0,82796631.209064,118358010.739257,50663763.62237,0.0,0.0,0.0,0.0,0.0,1211693995.37986,2980795.415139,0.0,0.0,97173091.386858,0.0,139738.021025,258548091.866831,0.0
1754589600,2025-08-07,1594841425.982286,2768929829.326869,0.5759775524430658,-1174088403.344583,8,0,245295203.408158,1136209688.096136,76835674.301256,0.0,71652726.120327,124082464.324789,50570215.589579,0.0,0.0,0.0,0.0,0.0,1222606341.875645,3641734.483384,0.0,0.0,83330984.535753,0.0,139738.021025,245155465.387133,0.0
1754762400,2025-08-09,1613619545.521807,2788168493.662261,0.5787381749667204,-1174548948.140454,8,0,245458148.356851,1119032177.024391,84332463.039821,0.0,73219103.900125,128087965.724296,49966538.378734,0.0,0.0,0.0,0.0,0.0,1226883283.526538,3798842.834062,0.0,0.0,102848119.234294,0.0,139738.021025,245318410.335826,0.0
1754935200,2025-08-11,1672720780.974777,2844302248.19748,0.5880952989559497,-1171581467.2227032,8,0,245556990.697618,1143516664.858005,87236791.207286,0.0,70505237.737067,135955305.364574,51095840.486697,0.0,0.0,0.0,0.0,0.0,1226826664.333128,3764115.282982,0.0,0.0,125401628.927741,0.0,139738.021025,245417252.676593,0.0
1755108000,2025-08-13,1678820587.029969,2857365952.079735,0.5875413283370438,-1178545365.0497658,8,0,225568999.480081,1167727307.269831,82933083.764085,0.0,70339472.650591,141763213.186274,50469978.585659,0.0,0.0,0.0,0.0,0.0,1232641003.692524,3839949.231667,0.0,0.0,107651943.699104,0.0,139738.021025,225429261.459056,0.0
